"","Gm4245","Gm28553","Pcdh11x","Mpp5","Gm21961","Cndp1","Fancm","Gm20732","Mir741","Gm25972","Agfg2","Mir672","Gm23483","4930550L24Rik","Nr5a1","Peg3","Krt18","Nxph4","Gm9845","Sort1","Pbx2","Gm23970","Gm25860","5730437C11Rik","Olfr1247","Gm24195","Defb47","Gm807","1700042B14Rik","RP24-330A11.9","Gm22949","Vangl1","Hook1","Gm26115","Gm25426","Bud13","Txndc5","Plscr5","1700125G22Rik","Gm23529","Gm26776","Ranbp9","Gm23340","Sep15","Kctd7","Gm28175","Gm22941","Gm26285","Gm27704","Smarcal1","Gm266","Gm24298","Stx1b","CU467659.2","Gm13212","Epha10","4930519D14Rik","Gm22074","Gatm","Bid","Kpna2","Cog7","Mir5118","Gm24251","Amdhd1","Gm24544","Gm12596","Gm24929","Cxcl12","Gm22470","Ltb4r1","mmu-mir-486b","Gm13693","4933417E11Rik","Gm24726","Satb2","Gm26951","Mex3d","Tnnc1","Batf","Gm29252","Dlx2","Aspm","AC109138.1","3110070M22Rik","Olfr844","Insig2","Exoc2","Daf2","Vsig8","2310008N11Rik","1110032F04Rik","Mrpl48","Mir3109","Rfc1","Tnfrsf8","Olfr651","Fam186b","Gm6455","Agxt","Pou5f1","Nkx2-5","Ptprc","Hnf4a","Pecam1"
"sample_1",0.147629209319337,0,0,2.11186540275266,0.0223332704581762,0.0802548096835432,1.42255682639286,0.0274735016424415,0,0.0172663864360115,0.736868664307505,0,0,0,0.0542123485581684,0,0.0802548096835432,0,0,0.295516610781084,2.27193022803772,0,0,0,0,0,0,0,0,0,0.153545504665869,0.171016101176124,0.686480362247147,0,0,1.38734533776867,2.32934294157602,0,0.105636239499311,0,0.0276092611097021,2.97541647028332,0,2.03083006048123,0.329275902229587,0,0,0,0,1.0292260190896,0,0,0.224341915289354,0,1.50216726654547,0,0.0542123485581684,0,0.201171955004769,0.551892677108426,0.716736577062506,1.19037617401273,0,0,0.0802548096835432,0,0.288371239563557,0,0.178865833756375,0,0.13038936666104,0,0.028046747260053,0,0,0.0822145344616795,0,0.731200252592613,0,0.884004410034734,0,0,0.637120668654399,2.02017588595628,0.349117429818013,0,1.01969860016001,2.5080552424473,0.0435875174791539,0,0,1.3863431314303,0.98797133734245,0,2.02097909277046,0,0,0.0542123485581684,0,0,0.0274735016424415,0,5.54229551642747,0.0274734935125803,3.55385498960678
"sample_2",0,0,0.0972219688401574,1.57675909420758,0.0920259922408423,0,0.776741386969843,0,0,0.00243746814642493,0.185760651646174,0,0,0,0.0251931408491824,0,0.0971708092015851,0,0,0.360263929951568,1.35230934951758,0,0,0.0737488952981733,0,0,0,0.0251921457508125,0,0,0.0269593715195415,0.115260472445326,0,0,0,1.28340950670338,2.37511728832408,0,0.0251921457508125,0,0,2.31078390917635,0,2.40260828068172,0.185730070516134,0,0,0,0,0.813510938327588,0,0,0.26779528774626,0,1.15301575357703,0,0,0,0.187756111243078,1.42198526403014,1.67104081041695,0.725701872507232,0,0,0,0,0,0,0.122711014683958,0,0,0,0,0,0.0251921457508125,0.150246594648765,0.0789374387231215,0.81215277361305,0,0.987234393797216,0,0,0.539028273705811,0.391975456268848,0.875625886534201,0,1.30413942905497,2.63803423806926,0,0,0,1.33924431748753,0.989154656755903,0,1.63551906313652,0.429022206215815,0,0.0251921457508125,0,0,0,0,5.9412802709414,0,2.0669797346975
"sample_3",0.130550859488674,0,0,0.830907742969788,0.00209691910680249,0,0.374792127504098,0,0,0,2.0019979701093,0,0,0.00308688086647601,0,0.0723782094896738,0.130259772915886,0.0153399893733923,0,0.281142893219325,2.24618183845498,0,0,0,0,0,0,0.00616426221582603,0,0,0,0.0153685898072677,0.640375843517665,0,0,1.35898132953408,2.84374230434692,0,0,0,0.0183846853450847,2.17808566783326,0,1.96938598967472,0.606629420179813,0,0,0,0,1.62331486165509,0,0,0.155100399407818,0,0.724834897362741,0.0126362462700911,0.00308688086647601,0,0.0862007634383816,0.19431280775518,1.16218817775436,1.2377771818636,0,0,0.0453315737930522,0,0.0394047851169502,0,0.159737530186529,0,0.195908430157984,0,0.00715583729205662,0,0,0.00752952266649493,0.614142156177821,2.2775203709712,0.0394047851169502,1.69484337890472,0,0,0.145750169490049,0.483042090373684,0.0974501606660788,0,0.907978674469637,2.21032317993308,0,0.1055299674366,0,1.65912254771147,0.582908551322227,0,1.64777366172173,0,0,0.141057502149453,0,0,0,0,4.86757341962636,0.00308688086647601,3.21503970166775
"sample_4",0.0556049675864208,0,0.00567143775702629,0.766059249228093,0.00363600621092921,0,0.606006920646715,0,0,0,1.40775671477515,0,0,0,0,0.00442808674921261,0.733958222521552,0,0,0.61833974580221,1.73753391255511,0,0,0,0.00283930005667652,0.00567056130773702,0,0,0,0,0.0127135608584756,0.0262715579886542,0.352305686001707,0,0,1.23618840789598,2.44349658699229,0,0,0,0.383221888806873,1.68446005462129,0,1.26136771959127,0.26596898147693,0,0,0,0,0.695884270735807,0.0113091485754886,0,0.138690649740301,0,0.24666897802441,0,0,0,0.0844729185084016,0.473516382462783,0.845314382179155,1.37851671343959,0,0,0.0141165642292859,0,0.00567960848924571,0,0.440505155843442,0,0.159942516900055,0,0.00228938092739852,0,0,0.00290445250904667,0.550913520285968,2.82016852758084,0,1.51291636990972,2.02961474347239e-07,0,0.169989844620804,0.559577139730517,0.607102954359804,0,1.15448466923661,1.78391168144047,0,0,0,1.80911414028246,0.361983877206725,0,0.985411938619558,0.135850882046633,0,0.0224918292212597,0,0,0,0,4.36193595102933,0,2.77469749010144
"sample_5",0.0593158006136694,0,0.00738131555711402,0.565881320417644,0.0132339607043096,0,0.2030252513977,0.00246649723252566,0,0.000791295913654136,0.430759650304608,0,0.00246649723252566,0,0,0.0199710281032463,1.31609810537109,0,0.106901122375183,0.920373869173743,1.65808746521244,0,0,0.0296218483716771,0.00246649723252566,0,0,0,0,0,0.0296851393652783,0.753072250456857,0.396483955844282,0,0,1.22298319118026,2.48147478099966,0,0.33439852365498,0,0.00269520314590762,1.43562704698857,0,1.99395944829092,0.165748697712924,0,0,0,0,0.871281473484515,0,0,0.287104366303674,0,0.100668184382568,0,0,0,0.0366266161548035,1.35412891021908,1.68170486873605,0.981639150725869,0,0,0.0363735128461603,0,0.0173029221334206,0,0.361972751085296,0,0.0668612868323909,0,0,0,0,0.0174085959151665,0.608132050548154,2.41674430139885,0,1.62961468476248,0,0.0339905368257747,0.0844422754120651,0.763894737726552,0.694478044281748,0,1.30137005709496,2.01882436597261,0.00478878558979193,0,0,2.99092293409141,0.395103198819827,0,0.90895434963657,0.315741557656481,0,0,0,0,0,0,4.66694743286804,0.00492691844946367,2.28359629822273
"sample_6",0.00310727622975174,0,0,0.518563971120116,0,0,0.472677920702631,0,0,0,1.15150661928979,0,0,0,0,0.0244629176838682,1.63027892280891,0,0.0355356951630009,0.0514106333924597,1.92119878032243,0,0,0,0,0,0,0,0,0,0.00465532724581672,0.0190019518116088,0.32811120163167,0,0,0.680067435205725,2.80946856654926,0,0,0,0,1.07102311230674,0,0.45857643241673,0.385332927990281,0,0,0,0,0.548099096486031,0,0,0.0693600987021238,0,0.00942787117133503,0,0,0,0.108945725602795,0.237175098714726,1.80401188530896,1.46399826600136,0,0,0.0142852072325819,0,0,0,0.752473461256435,0,0.207179728393376,0,0,0,0,0,0.40885004040686,3.26640004227687,0,2.31232156531885,0,0,0.19146299339319,0.48598466405693,0.298252158200202,0,0.56468504977548,2.67781497806643,0.00446556680531708,0.00954610949836794,0,3.21966882943419,0.320797439744674,0,0.744598891703459,0.347914953627083,0,0,0,0,0,0,3.69056600128681,0.00478444382254435,2.77715630666699
"sample_7",0.184365226360834,0,0.0214470899853829,0.578884363832715,0.00965046379253299,0,0.989693184436819,0,0,0,1.80088380327736,0,0,0,0,0.391987930283201,1.31196214117137,0,0,1.67395617406641,2.02612386503035,0,0,0.0731347612665794,0,0,0,0,0,0.00360660805335169,0.00720025521590751,0.169188062087077,0.445477814092797,0,0,0.905881984023729,3.17610490756931,0,0.00360660805335169,0,0,1.82760441659686,0,1.34755782611417,0.494226768896184,0,0,0,0,1.29256795472495,0,0,0.0842262937643485,0,0.192072562026591,0.0129098096779988,0,0,0.49986187775541,1.03475562581817,1.30840185122748,1.51032303252808,0,0,0.0697708030355009,0,0.0143837625932625,0,1.63140363279747,0,0.48332487286534,0,0,0,0,0.00361193620499768,0.420785845556014,2.47895125890318,0.27441933040822,1.46919808749533,0,0.00360938013579147,1.01045853884645,0.7595035655641,0.176412560851584,0,0.84154529791379,2.27142221673626,0,0.00720025521590751,0,1.73967038890203,0.321353356024934,0,1.67009564345528,0.349376103142472,0,0.0798289182434441,0.0150180464323829,0,0,0,4.40908887435162,0.139993564335526,3.35524500962676
"sample_8",0.0860865388937636,0,0,0.926826843924388,0.0459770266740547,0,0.678464829895376,0,0,0.000317804102118487,1.35476641294361,0,0,0,0.0198884025423978,0,0.210522527804584,0.00999231835187065,0,0.862482553207316,1.84862516770184,0,0,0.00997223417695038,0,0,0,0,0,0,0,0.0321180165929109,0.261578491689833,0,0,1.31485585834746,3.02906984306808,0,0.00737220564658876,0,0.010014423734851,1.95381768523182,0,1.30045373102937,0.30666367927019,0,0,0,0,0.892592313529255,0,0,0.182879522068775,0,0.267410163455541,0.003836730312799,0.00334187911767352,0,0.422356770070468,0.627006868925719,1.19353603826953,1.0032829869434,0,0,0.0489920878957126,0,0.0166182460377701,0,0.0458205509418843,0,0.510513423943562,0,0.0174197742773275,0,0.00334187911767352,0.0101876043223752,0.466634013618363,2.51212810521017,0,1.62805456267611,0,0,0.379771694648448,0.613385150679397,0.423225322365896,0,1.01056691221396,1.79917272082143,0,0.00334187911767352,0.00334187911767352,2.06714299225848,0.25490840755682,0,1.2111378018915,0.485163321573108,0,0.0231619646236121,0,0,0,0,4.46165340691123,0.0198857707348102,2.87199806795828
"sample_9",0.0538566460332387,0,0.00533942036492246,0.995655319178809,0.0102225007664335,0,0.673495468384077,0.0106504826686065,0,0.000757029112291425,0.472423699612498,0,0,0.00267327385445714,0,0.0106508534573861,0.253944165190791,0.0081067107733511,0.0907253418195933,0.418254885941959,1.55562453669836,0,0,0.0156127066045812,0,0,0,0,0,0,0.0105884795540277,0.0367014697364502,0.828017865974539,0,0,1.35831482478387,2.70519187168634,0,0.0029954285135006,0,0.00538811805083652,1.61462100829984,0,1.1973265438069,0.277821363940317,0,0,0,0,1.35246659378219,0,0,0.140558377942106,0,0.238522059200485,0.0127714746592585,0.00267327385445714,0,0.148018994065052,1.74437747048694,1.96003971525999,1.35143674070411,0,0,0.021188726899897,0,0.0186340306162505,0,0.0188595701824745,0,0.245603370376224,0,0.00650000038160927,0,0.00267327385445714,0.0361197587797634,0.45714092104005,2.1823654167013,0,1.71198330976861,0,0,0.691848891033998,0.315212866737106,0.31246496149095,0,1.05365380517257,2.2364232447396,0,0.00267327385445714,0,1.9856782724195,0.267943668486289,0.00267327385445714,1.57185864596453,0.609883924941383,0,0.00267327385445714,0.0051780274286251,0,0.00267327385445714,0,5.20209565912316,0.0106504800201147,2.36193792146144
"sample_10",0.153263961399761,0,0,0.750458592897242,0,0.00547181532906073,0.815058855540147,0,0,0,1.53544454522652,0,0,0,0,0.00273981440927247,0.0109138527603901,0.00547181532906073,0.107064577488537,0.136924240220645,1.88305756355304,0,0,0,0,0,0,0.0136238057041561,0,0,0,0.00273965025523579,0.836342713276751,0,0,1.39254281743789,2.76364886684712,0,0,0,0,1.59782578763997,0,1.27556743592176,0.387644175919668,0.00273965025523579,0,0,0,1.11922607393285,0.00273965025523579,0,0.107096373703038,0,0.137968894943858,0,0.00273965025523579,0,0.325033429141503,1.32086483159041,2.37008611231577,1.54469346549448,0,0,0.0163264346461946,0,0.0109681781210124,0,0.268205196356749,0,0.111511392744654,0,0,0,0,0.00274123707646297,0.415806833765227,2.51161201468159,0,2.36361969268982,0,0.00274017007625996,0.566792213408895,0.143766091046696,0.126786381915365,0,0.723606023954107,2.42590498435466,0,0,0,2.97860946921816,0.411204889686959,0,1.86594422258112,1.48221843948444,0.00273965025523579,0.0190217790679681,0,0,0,0,4.37246592949648,0.0027396494344654,1.56637683448963
